"category","model","service","price"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A23","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A3 (2016)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A3 (2017)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A30","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A30s","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A31","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A32","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A33","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A40","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A41","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A5 (2015)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A50","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A51","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A52","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A53","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A70","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A71","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A72","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A73","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J3 (2016)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J3 (2017)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J4 (2018)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J5 (2015)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J5 (2016)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J5 (2017)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J6","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J7 (2016)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J7 (2017)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy J8","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy M12","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy M21","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy M31","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy M31s","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy Note 10","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy Note 10 Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy Note 20","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy Note 20 Ultra","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy Note 9","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S10","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S10 Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S10e","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S20","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S20 Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S20 Ultra","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S21","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S21 Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S21 Ultra","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung S21 FE","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S22","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S22 Ultra","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S23","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S23 Ultra","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S6 Edge Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S7 Edge","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S8","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S8 Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S9","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S9 Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy Z Flip","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy Z Fold 4","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy S20 FE","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A32 5G","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A54","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A15","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Samsung Galaxy A13","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"Honor","Honor 10","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 10 Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 10i","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 10x Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 20","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 20 Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 20 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 20E","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 20I","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 20S","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 30","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 30 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 30 Pro Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 30i","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 30S","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 50","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 50 lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 5X","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 6","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 6X","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 7","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 70","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 70 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 70 Pro Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 7A","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 7C","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 7X","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 8","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 8A","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 8C","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 8S","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 8X","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 9","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 9 Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 9A","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 9C","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 9S","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor 9X","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor View 20","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor X8","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor X9a","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Honor X7","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"Xiaomi","Xiaomi 11 Lite NE","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi 11T","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi 11T Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi 12","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi 12 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi 12X","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi 13","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi 13 Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi Mi 10","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi Mi 10T","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi Mi 10T Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi Mi 11 Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Xiaomi Mi 11 Lite 5G","Замена экрана","укажите цену"
